Query,Type,Source,Count,Response,First Seen,Last Seen,Duration
"vodacam.lat","A","D",1,43.153.72.244,"2026-05-13, 15:10","2026-05-13, 15:10","1s"
"finessa.lat","A","D",1,43.153.72.244,"2026-05-13, 15:03","2026-05-13, 15:03","1s"
"ghiseul.sbs","A","D",1,43.153.72.244,"2026-05-13, 09:50","2026-05-13, 09:50","1s"
"ghiseul.beer","A","D",1,43.153.72.244,"2026-05-13, 07:00","2026-05-13, 07:00","1s"
"telstrab.top","A","D",9,43.153.72.244,"2026-05-13, 04:22","2026-05-13, 09:49","5h 27m 46s"
"one-points.shop","A","A","",43.153.72.244,"2026-05-13","2026-05-14","1d"
"telstrab.top","A","A","",43.153.72.244,"2026-05-13","2026-05-14","1d"
"amendes-justice.lat","A","A","",43.153.72.244,"2026-05-13","2026-05-14","1d"
"ghiseul.sbs","A","A","",43.153.72.244,"2026-05-13","2026-05-14","1d"
"mvre.lat","A","B",1,43.153.72.244,"2026-05-12, 14:42","2026-05-12, 14:42","1s"
"mvre.lat","A","D",8,43.153.72.244,"2026-05-12, 14:38","2026-05-13, 06:12","15h 34m 6s"
"ghiseul.autos","A","B",1,43.153.72.244,"2026-05-12, 13:33","2026-05-12, 13:33","1s"
"ghiseul.autos","A","D",15,43.153.72.244,"2026-05-12, 13:31","2026-05-13, 09:58","20h 27m 17s"
"otpuss.top","A","B",1,43.153.72.244,"2026-05-12, 08:55","2026-05-12, 08:55","1s"
"otpuss.top","A","D",11,43.153.72.244,"2026-05-12, 08:47","2026-05-13, 06:40","21h 52m 47s"
"qantase.top","A","B",1,43.153.72.244,"2026-05-12, 05:54","2026-05-12, 05:54","1s"
"qantase.top","A","D",17,43.153.72.244,"2026-05-12, 05:48","2026-05-13, 00:19","18h 30m 59s"
"otpuss.top","A","A","",43.153.72.244,"2026-05-12","2026-05-13","1d"
"ghiseul.autos","A","A","",43.153.72.244,"2026-05-12","2026-05-14","1d"
"qantase.top","A","A","",43.153.72.244,"2026-05-12","2026-05-14","1d"
"mvrn.lat","A","A","",43.153.72.244,"2026-05-12","2026-05-14","1d"
"dpd-poland.lat","A","B",1,43.153.72.244,"2026-05-11, 12:41","2026-05-11, 12:41","1s"
"dpd-poland.lat","A","D",12,43.153.72.244,"2026-05-11, 12:34","2026-05-13, 06:25","1d 17h 50m"
"indiaposts.lat","A","B",1,43.153.72.244,"2026-05-11, 12:01","2026-05-11, 12:01","1s"
"indiaposts.lat","A","D",14,43.153.72.244,"2026-05-11, 12:00","2026-05-13, 03:13","1d 15h 12m"
"gls-grouy.lat","A","D",16,43.153.72.244,"2026-05-11, 11:32","2026-05-13, 13:11","2d 1h 39m"
"gls-grouy.lat","A","B",1,43.153.72.244,"2026-05-11, 11:24","2026-05-11, 11:24","1s"
"amendes-justice.lat","A","B",1,43.153.72.244,"2026-05-11, 09:13","2026-05-11, 09:13","1s"
"amendes-justice.lat","A","D",16,43.153.72.244,"2026-05-11, 09:11","2026-05-13, 17:26","2d 8h 15m"
"les.lat","A","D",9,43.153.72.244,"2026-05-11, 08:29","2026-05-12, 22:20","1d 13h 51m"
"dijital-gib.lat","A","D",13,43.153.72.244,"2026-05-11, 08:29","2026-05-13, 17:16","2d 8h 46m"
"les.lat","A","B",1,43.153.72.244,"2026-05-11, 08:22","2026-05-11, 08:22","1s"
"dijital-gib.lat","A","B",1,43.153.72.244,"2026-05-11, 08:22","2026-05-11, 08:22","1s"
"telstram.top","A","B",1,43.153.72.244,"2026-05-11, 06:31","2026-05-11, 06:31","1s"
"telstram.top","A","D",17,43.153.72.244,"2026-05-11, 06:25","2026-05-13, 00:16","1d 17h 51m"
"indiaposts.lat","A","A","",43.153.72.244,"2026-05-11","2026-05-14","2d"
"les.lat","A","A","",43.153.72.244,"2026-05-11","2026-05-12","1d"
"telstram.top","A","A","",43.153.72.244,"2026-05-11","2026-05-14","2d"
"gls-grouy.lat","A","A","",43.153.72.244,"2026-05-11","2026-05-14","2d"
"dijital-gib.lat","A","A","",43.153.72.244,"2026-05-11","2026-05-13","1d"
"dpd-poland.lat","A","A","",43.153.72.244,"2026-05-11","2026-05-14","2d"
"mvrc.lat","A","A","",43.153.72.244,"2026-05-10","2026-05-14","3d"
"mvrs.lat","A","C",1,43.153.72.244,"2026-05-09, 12:52","2026-05-09, 12:52","1s"
"telsxtra.shop","A","C",1,43.153.72.244,"2026-05-09, 11:36","2026-05-09, 11:36","1s"
"mvrn.lat","A","D",20,43.153.72.244,"2026-05-09, 11:35","2026-05-12, 18:36","3d 7h 43s"
"mvrc.lat","A","D",22,43.153.72.244,"2026-05-09, 11:34","2026-05-13, 03:44","3d 16h 9m"
"mvrn.lat","A","B",3,43.153.72.244,"2026-05-09, 11:06","2026-05-12, 04:13","2d 17h 6m"
"mvrc.lat","A","B",2,43.153.72.244,"2026-05-09, 11:05","2026-05-12, 10:47","2d 23h 41m"
"one-shop.shop","A","A","",43.153.72.244,"2026-05-09","2026-05-14","4d"
"mvrv.lat","A","A","",43.153.72.244,"2026-05-09","2026-05-14","4d"
"eprekrsaji.xyz","A","A","",43.153.72.244,"2026-05-09","2026-05-14","4d"
"mvrv.lat","A","B",2,43.153.72.244,"2026-05-08, 13:53","2026-05-11, 12:00","2d 22h 7m"
"mvri.lat","A","D",23,43.153.72.244,"2026-05-08, 13:41","2026-05-13, 11:17","4d 21h 35m"
"mvrv.lat","A","D",26,43.153.72.244,"2026-05-08, 13:41","2026-05-13, 14:01","5d 20m 10s"
"mvri.lat","A","B",3,43.153.72.244,"2026-05-08, 12:36","2026-05-12, 17:59","4d 5h 22m"
"mvrx.lat","A","B",2,43.153.72.244,"2026-05-08, 08:09","2026-05-11, 04:13","2d 20h 4m"
"mvrx.lat","A","D",25,43.153.72.244,"2026-05-08, 08:04","2026-05-12, 20:48","4d 12h 43m"
"vodafones.shop","A","A","",43.153.72.244,"2026-05-08","2026-05-14","5d"
"mvr-goy.xyz","A","A","",43.153.72.244,"2026-05-08","2026-05-14","5d"
"mvrx.lat","A","A","",43.153.72.244,"2026-05-08","2026-05-14","5d"
"mvri.lat","A","A","",43.153.72.244,"2026-05-08","2026-05-13","4d"
"telstrav.shop","A","B",4,43.153.72.244,"2026-05-07, 18:35","2026-05-12, 05:09","4d 10h 34m"
"telstrao.shop","A","D",15,43.153.72.244,"2026-05-07, 17:45","2026-05-13, 13:46","5d 20h 59s"
"vodafonev.shop","A","C",1,43.153.72.244,"2026-05-07, 14:58","2026-05-07, 14:58","1s"
"one-shop.shop","A","B",2,43.153.72.244,"2026-05-07, 14:34","2026-05-10, 05:38","2d 15h 3m"
"dpshtrr.top","A","B",3,43.153.72.244,"2026-05-07, 13:04","2026-05-10, 17:23","3d 4h 18m"
"dpshtrr.top","A","D",21,43.153.72.244,"2026-05-07, 13:04","2026-05-13, 06:34","5d 17h 30m"
"dpshtrr.sbs","A","D",29,43.153.72.244,"2026-05-07, 11:32","2026-05-13, 03:56","5d 16h 23m"
"dpshtrr.sbs","A","B",4,43.153.72.244,"2026-05-07, 11:29","2026-05-12, 21:43","5d 10h 13m"
"one-points.shop","A","B",2,43.153.72.244,"2026-05-07, 10:22","2026-05-09, 09:35","1d 23h 12m"
"one-shop.shop","A","D",13,43.153.72.244,"2026-05-07, 10:18","2026-05-13, 04:19","5d 18h 1m"
"one-points.shop","A","D",21,43.153.72.244,"2026-05-07, 10:18","2026-05-13, 17:16","6d 6h 57m"
"telstrav.shop","A","D",18,43.153.72.244,"2026-05-07, 09:04","2026-05-13, 08:10","5d 23h 5m"
"telstrai.shop","A","A","",43.153.72.244,"2026-05-07","2026-05-14","6d"
"dpshtrr.top","A","A","",43.153.72.244,"2026-05-07","2026-05-14","6d"
"comnnbank.shop","A","A","",43.153.72.244,"2026-05-07","2026-05-14","6d"
"vodafonev.shop","A","A","",43.153.72.244,"2026-05-07","2026-05-14","6d"
